supply_node_id,demand_cluster_id,flow,distance_km
0,0.0,0.887970702382705,2122.918309397398
0,2.0,8.277207479003906,1314.779510566895
0,4.0,4.357576265609741,1319.3023628303183
0,7.0,2.1973462410933005,2248.32910356309
0,9.0,4.961085191619873,543.0838224591979
0,12.0,7.703337657989502,1434.515048643998
0,13.0,8.354572621534347,2418.904658246512
0,15.0,3.1004512262637767,1855.0293132338775
0,18.0,1.949657595316608,992.9743773123396
0,20.0,4.673177062927246,432.44182824080644
0,22.0,7.005668445802465,688.4974588175029
1,6.0,4.503173218104362,1917.9106335626113
1,11.0,3.8759496408953957,921.999090747636
1,15.0,1.933064791872639,1105.9914026249323
1,17.0,2.9832090044250488,1130.1356828227342
1,21.0,4.527286841217041,150.50087999897406
2,1.0,3.2963016387329103,20.66896522188067
2,10.0,3.6523324310302736,1042.306892842852
2,11.0,0.1804393288426107,1252.6851499749187
3,5.0,4.321115117141723,576.3299078609392
3,19.0,1.0256899318126234,846.6615373460207
4,3.0,6.188593192169189,207.63711416892832
4,16.0,3.5361895234680176,443.189089440621
4,18.0,1.1982434623768736,749.4580036291075
4,19.0,1.6512652289539784,920.1908726392032
4,23.0,1.6838553902435303,1136.5579260654897
5,8.0,2.1728147557373045,765.7944630388756
5,14.0,1.9783039837493896,1181.2321312623903
5,22.0,1.672188921888575,455.134822823568
5,24.0,3.8009414267425536,610.4214134601912
6,0.0,5.346805048954346,266.03136804244923
7,7.0,5.346805048954346,403.16968095046764
8,15.0,2.851629359442318,495.9359913693706
